Local;Local sem codigo;Endereço;Latitude;Longitude
2810 - EEEM PADRE EDUARDO;EEEM PADRE EDUARDO;R. Rodrigues Pinajé, 998 - Mangueiras, Belém - PA, 66916-080;-1.142637;-48.460135
2828 - EEEFM GENY GABRIEL AMARAL;EEEFM GENY GABRIEL AMARAL;Ramal Itaiteua - Park Situacao, Outeiro - Distrito De Icoaraci, S/N - Água Boa, PA, 66815-290;-1.263647;-48.447352
2895 - ESCOLA SÃO JOÃO BATISTA;ESCOLA SÃO JOÃO BATISTA;Av. Paes de Carvalho, 81-93 - Ponta Grossa (Icoaraci), Belém - PA, 66812-548;-1.301387;-48.484565
2909 - ESCOLA ESTADUAL VER. MANOEL COSTA MATOS;ESCOLA ESTADUAL VER. MANOEL COSTA MATOS;R. Cel. Juvêncio Sarmento - Paracuri 1(Icoaraci), Belém - PA, 66812-490;-1.314444;-48.480819
2917 - EMEI PROFª. RENATA SALES PENA;EMEI PROFª. RENATA SALES PENA;R. Paulo Freire - Parque Guajará, Belém - PA, 66821-590;-1.315026;-48.463676
1325 - EEEF SANTANA MARQUES;EEEF SANTANA MARQUES;Mangueirão, Belém - PA, 66640-175;-1.377275;-48.438414
1368 - EEEF PADRE ORIONE;EEEF PADRE ORIONE;R. 10 de Maio, 1-17 - Mangueirão, Belém - PA, 67113-345;-1.385139;-48.435049
3280 - ESTADIO OLIMPICO DO PARA EDGAR PROENÇA - MANGUEIRÃO;ESTADIO OLIMPICO DO PARA EDGAR PROENÇA - MANGUEIRÃO;Av. Augusto Montenegro, s/n - Km 03 - Mangueirão, Belém - PA, 66640-000;-1.381275;-48.444153
2755 - EMEIF PROF  WALTER LEITE CAMINHA;EMEIF PROF  WALTER LEITE CAMINHA;tv 290, Tv. Quatro, 72 - Mangueirão, Belém - PA, 66640-290;-1.380930;-48.458703
2925 - EE PANORAMA XXI;EE PANORAMA XXI;Passagem São Raimundo - Cabanagem, Belém - PA, 66640-255;-1.376076;-48.435885
2933 - ASSOC. DE MORADORES DO RESIDENCIAL CARMELÂNDIA;ASSOC. DE MORADORES DO RESIDENCIAL CARMELÂNDIA;72, R. Tancredo Neves, 2 - Mangueirão, Belém - PA, 66640-265;-1.381559;-48.438690
3336 - SISTEMA EDUCACIONAL FILADÉLFIA / MANGUEIRÃO;SISTEMA EDUCACIONAL FILADÉLFIA / MANGUEIRÃO;R. Ten. Bezerra, 31 - Mangueirão, Belém - PA, 66640-085;-1.380212;-48.438201
2941 - SALÃO PAROQUIAL DA IGREJA DE SANTA EDWIGES;SALÃO PAROQUIAL DA IGREJA DE SANTA EDWIGES;169, Q. Nove, 63 - Mangueirão, Belém - PA, 66640-510;-1.377800;-48.437676
2950 - CENTRO DE CIÊNCIA E PLANETÁRIO DO PARÁ - SEBASTIÃO SODRÉ DA GAMA;CENTRO DE CIÊNCIA E PLANETÁRIO DO PARÁ - SEBASTIÃO SODRÉ DA GAMA;Av. Augusto Montenegro, s/n - Km 03 - Mangueirão, Belém - PA, 66640-000;-1.383837;-48.438252
2984 - ASSOCIAÇÃO DOS MORADORES DO CONJUNTO CATALINA;ASSOCIAÇÃO DOS MORADORES DO CONJUNTO CATALINA;Mangueirão, Belém - PA, 66640-015;-1.384107;-48.458859
2992 - EEEFM RUTH DOS SANTOS ALMEIDA;EEEFM RUTH DOS SANTOS ALMEIDA;Conj. Maguari Av. Principal, Entre Alameda 16 E 17, Sn - Icoaraci, Belém - PA, 66823-060;-1.331055;-48.440836
